run,epoch,agent,time,c,state,reward,theta,std,theta_maximum,theta_minimum,Regret,name,num_agents,base
1,1,1,1,10,5,15.53135325235796,15.380942957825184,10.460683442380153,21.095260293696125,-15.200915060112461,5.563907041338165,Thompson Sampling,1,100
2,1,1,1,8,5,2.763550456599969,3.43094831331231,7.998878142275877,14.19674428825184,-15.168295275490703,11.433193831651872,Thompson Sampling,1,100
3,1,1,1,9,5,5.259060589611694,4.585968105137512,11.389250085033211,13.338215461997056,-26.993491301330867,8.079154872385361,Thompson Sampling,1,100
4,1,1,1,7,5,13.145903646372142,14.28020292463142,12.194852722069417,14.28020292463142,-20.78714830370741,1.1342992782592773,Thompson Sampling,1,100
5,1,1,1,9,5,5.879466079034183,6.897052429475162,8.45268168648197,23.850390171366673,-3.2065806438659923,17.97092409233249,Thompson Sampling,1,100
6,1,1,1,9,5,-5.640673258150599,-6.144089915598414,7.773197366591391,3.1818224250957523,-21.573651844097867,8.822495683246352,Thompson Sampling,1,100
7,1,1,1,10,5,6.57571435830899,7.3528531279356075,11.017493728781787,15.706439447211762,-16.859289604405145,9.130725088902771,Thompson Sampling,1,100
8,1,1,1,10,5,-3.0793799663409396,-3.2747412825450106,12.130102732213505,18.76775194380302,-23.925378208430356,21.84713191014396,Thompson Sampling,1,100
9,1,1,1,8,5,16.37535097004198,15.538066107046832,7.166613225336559,15.538066107046832,-10.715734266242166,0.0,Thompson Sampling,1,100
10,1,1,1,10,5,5.022456319846643,2.4598023014445443,7.1556298297727965,17.52368134654779,-9.953382925298369,12.501225026701146,Thompson Sampling,1,100
11,1,1,1,3,5,-6.772302035795198,-7.737984721170411,12.445786153656067,27.28943930491829,-7.737984721170411,34.06174134071349,Thompson Sampling,1,100
12,1,1,1,9,5,4.454156566039718,1.9546519998470913,13.07552657941345,29.30365392252275,-20.123892956734377,24.84949735648303,Thompson Sampling,1,100
13,1,1,1,9,5,-18.77510443836311,-19.434399401246104,8.470464676649538,7.703855258678581,-19.434399401246104,26.478959697041688,Thompson Sampling,1,100
14,1,1,1,9,5,9.506650443861895,10.95316898424428,12.133990126640393,21.579083807741796,-15.76263237043198,12.0724333638799,Thompson Sampling,1,100
15,1,1,1,4,5,6.866566505952567,6.019833412690848,7.3350699324761885,13.622380996325429,-9.060640897031707,6.755814490372862,Thompson Sampling,1,100
16,1,1,1,7,5,2.9957825949387558,3.6264697721199997,10.398219136116658,21.79472971088049,-12.938477458436664,18.798947115941733,Thompson Sampling,1,100
17,1,1,1,7,5,-2.9326257197914773,-2.97405227038843,9.159648163552685,16.72077187360424,-11.369343464663016,19.653397593395717,Thompson Sampling,1,100
18,1,1,1,2,5,7.994981623587981,7.400475419459716,10.435444055161886,18.107586182310218,-13.292038106513935,10.112604558722236,Thompson Sampling,1,100
19,1,1,1,3,5,-10.23030101953559,-9.550748047218848,9.658689743478831,23.056789932147876,-9.550748047218848,33.28709095168347,Thompson Sampling,1,100
20,1,1,1,10,5,-10.988361323218095,-13.054082358221757,11.11739570255866,14.574563281138396,-22.486175793970407,25.56292460435649,Thompson Sampling,1,100
21,1,1,1,4,5,16.493173875377163,16.398779124484047,10.120183647334336,22.589173026397194,-8.464338367847017,6.095999151020031,Thompson Sampling,1,100
22,1,1,1,1,5,-10.854943341106958,-11.398215717167444,14.052816192853468,22.599369022206105,-18.114442110212337,33.454312363313065,Thompson Sampling,1,100
23,1,1,1,5,5,-1.5238968427203572,-3.572860866310445,7.14706463883878,10.66245513333657,-11.491094970949227,12.186351976056926,Thompson Sampling,1,100
24,1,1,1,8,5,1.0510148583159689,0.7369148610339408,6.376350380682466,4.310700394907794,-17.575503409296523,3.2596855365918254,Thompson Sampling,1,100
25,1,1,1,6,5,0.8588463920618816,0.8644160032722576,9.561721145646352,9.054647591762272,-15.1577669451809,8.19580119970039,Thompson Sampling,1,100
26,1,1,1,4,5,-6.439837510095724,-4.681211883531698,9.293547571029427,18.82754650964372,-14.453399601693585,25.267384019739445,Thompson Sampling,1,100
27,1,1,1,2,5,-6.541154045389494,-6.014543134497007,9.062813914656013,16.545886850598624,-10.652435925721313,23.087040895988117,Thompson Sampling,1,100
28,1,1,1,6,5,10.547270011169791,10.411651637418151,13.910192192979311,16.196638892317896,-20.351280071321355,5.649368881148105,Thompson Sampling,1,100
29,1,1,1,10,5,-7.1757734579934835,-6.752674566019988,9.931289854094919,21.776708273066898,-8.36663902335446,28.95248173106038,Thompson Sampling,1,100
30,1,1,1,7,5,4.083773142144048,4.955012685105169,11.964485332394492,19.91653962944692,-22.393400526703463,15.832766487302871,Thompson Sampling,1,100
1,1,1,5,4,5,8.972155119515241,7.059709574318708,5.531995972732365,10.702128365914774,-6.034226662107665,1.729973246399533,Seed Sampling,1,100
2,1,1,5,4,5,-7.491537332916343,-7.330765068912589,6.526584130553222,5.812376876586517,-13.06825950186781,13.30391420950286,Seed Sampling,1,100
3,1,1,5,8,5,-5.261283697851931,-5.432582738169466,9.852927363316708,20.72403963476509,-10.096529317361439,25.98532333261702,Seed Sampling,1,100
4,1,1,5,7,5,-8.27419950234253,-9.584075229042359,8.344400995665533,14.215563665489643,-9.584075229042359,22.489763167832173,Seed Sampling,1,100
5,1,1,5,4,5,-10.22867174255408,-10.360644621725452,10.616742429026031,19.263345757664062,-10.360644621725452,29.492017500218143,Seed Sampling,1,100
6,1,1,5,9,5,-28.977281171105364,-27.091042715332964,12.071525138913074,17.698600398078835,-27.091042715332964,46.6758815691842,Seed Sampling,1,100
7,1,1,5,9,5,4.600786665327589,4.875683167822401,15.173233493862227,26.499318447083247,-24.18259070720659,21.898531781755658,Seed Sampling,1,100
8,1,1,5,8,5,-10.619647116364543,-9.102533073128765,8.318389326558735,13.747800497986823,-9.102533073128765,24.367447614351367,Seed Sampling,1,100
9,1,1,5,8,5,10.229800710695608,10.519404033439978,9.392882925199254,10.519404033439978,-15.188122132005681,0.2896033227443695,Seed Sampling,1,100
10,1,1,5,9,5,-13.86387398165286,-13.725231268225317,8.873223256653278,12.21364486769659,-13.725231268225317,26.077518849349453,Seed Sampling,1,100
11,1,1,5,8,5,-7.700262061892819,-7.868508271514249,8.749671904789396,10.047321061595461,-13.078414453698363,17.74758312348828,Seed Sampling,1,100
12,1,1,5,6,5,-1.5909180376168566,-2.247079822742589,7.703945965955852,14.387169821951908,-12.206027663176886,15.978087859568763,Seed Sampling,1,100
13,1,1,5,10,5,-10.84342616608231,-11.224509028697895,15.790548766518402,23.105097109960358,-27.740622869322014,33.948523276042664,Seed Sampling,1,100
14,1,1,5,9,5,22.383235392548833,20.952302274682317,13.762266350436736,25.804282360677348,-13.653861740622913,3.4210469681285147,Seed Sampling,1,100
15,1,1,5,1,5,2.412345159625745,1.5512546783444643,12.487708092589308,23.705811812833463,-17.74687810205772,21.29346665320772,Seed Sampling,1,100
16,1,1,5,3,5,3.3393701218270104,3.8713007472657006,11.705862513192493,14.521693588067599,-20.21361608115328,11.18232346624059,Seed Sampling,1,100
17,1,1,5,10,5,6.031979559719313,5.95641050374483,5.5334675582685735,11.53875726624397,-8.454270164798729,5.506777706524656,Seed Sampling,1,100
18,1,1,5,4,5,1.9252506798718694,0.6280434435818913,6.386289486834873,9.215589421773213,-13.011483063804258,7.290338741901344,Seed Sampling,1,100
19,1,1,5,5,5,-8.635863015217176,-7.631746241611829,10.08537115850344,18.99486546997425,-17.682633641236084,27.630728485191426,Seed Sampling,1,100
20,1,1,5,8,5,-6.516210123347211,-6.043298705862927,10.40321567860434,17.810914046231627,-14.144588891027366,24.327124169578838,Seed Sampling,1,100
21,1,1,5,9,5,10.513982324229833,9.356502322780248,8.801854580032844,16.337997159489056,-12.772448657924807,5.824014835259224,Seed Sampling,1,100
22,1,1,5,2,5,-5.685742485233341,-5.506588223286663,11.381889148578852,18.223451914736568,-16.321264616697857,23.90919439996991,Seed Sampling,1,100
23,1,1,5,9,5,-7.293663213011813,-8.031545529124331,11.133892125340978,21.013720932862253,-12.336369806269612,28.307384145874067,Seed Sampling,1,100
24,1,1,5,5,5,5.3270850873848525,6.030419418897304,11.519562213145734,17.878428657871904,-20.99902519479152,12.551343570487052,Seed Sampling,1,100
25,1,1,5,8,5,-9.712876269736505,-10.470292339244104,7.4118713824179645,10.199630164050639,-12.506693694787288,19.912506433787144,Seed Sampling,1,100
