run,epoch,agent,time,c,reward,theta,std,theta_maximum,theta_minimum,Regret,name,num_agents,base
1,1,1,1,21,5.258704751729965,25.0,8.717797887081348,30.0,0.0,24.741295248270035,UCB,1,100
1,1,1,2,25,2.183228939771652,0.0,8.717797887081348,30.0,0.0,27.816771060228348,UCB,1,100
1,1,1,3,25,2.4522723853588104,0.0,8.717797887081348,30.0,0.0,27.54772761464119,UCB,1,100
1,1,1,4,25,1.5756970345973969,0.0,8.717797887081348,30.0,0.0,28.424302965402603,UCB,1,100
1,1,1,5,25,2.9072198271751404,0.0,8.717797887081348,30.0,0.0,27.09278017282486,UCB,1,100
1,1,1,6,25,2.818255841732025,0.0,8.717797887081348,30.0,0.0,27.181744158267975,UCB,1,100
1,1,1,7,25,1.981313869357109,0.0,8.717797887081348,30.0,0.0,28.01868613064289,UCB,1,100
1,1,1,8,25,2.679874062538147,0.0,8.717797887081348,30.0,0.0,27.320125937461853,UCB,1,100
1,1,1,9,25,-0.07144665718078613,0.0,8.717797887081348,30.0,0.0,30.071446657180786,UCB,1,100
1,1,1,10,25,1.819121852517128,0.0,8.717797887081348,30.0,0.0,28.180878147482872,UCB,1,100
1,1,1,11,25,2.486940175294876,0.0,8.717797887081348,30.0,0.0,27.513059824705124,UCB,1,100
1,1,1,12,25,0.5489338636398315,0.0,8.717797887081348,30.0,0.0,29.45106613636017,UCB,1,100
2,1,1,1,21,4.058597981929779,0.0,8.281505499203229,30.0,0.0,25.94140201807022,UCB,1,100
1,1,1,1,21,5.223179593682289,0.0,8.828363381737297,30.0,0.0,24.77682040631771,UCB,10,100
1,1,2,1,21,5.099291384220123,0.0,8.828363381737297,30.0,0.0,24.900708615779877,UCB,10,100
1,1,3,1,21,5.278753101825714,0.0,8.828363381737297,30.0,0.0,24.721246898174286,UCB,10,100
1,1,4,1,21,4.419720649719238,0.0,8.828363381737297,30.0,0.0,25.58027935028076,UCB,10,100
1,1,5,1,21,5.472097098827362,0.0,8.828363381737297,30.0,0.0,24.527902901172638,UCB,10,100
1,1,6,1,21,5.066004052758217,0.0,8.828363381737297,30.0,0.0,24.933995947241783,UCB,10,100
1,1,7,1,16,4.433246076107025,20.0,8.828363381737297,30.0,0.0,25.566753923892975,UCB,10,100
1,1,8,1,16,4.179332673549652,20.0,8.828363381737297,30.0,0.0,25.820667326450348,UCB,10,100
1,1,7,2,19,5.749502003192902,24.0,8.828363381737297,30.0,0.0,24.2504979968071,UCB,10,100
1,1,8,2,19,7.1548097133636475,24.0,8.828363381737297,30.0,0.0,22.845190286636353,UCB,10,100
1,1,7,3,19,7.67065691947937,24.0,8.828363381737297,30.0,0.0,22.32934308052063,UCB,10,100
1,1,8,3,19,5.564057320356369,24.0,8.828363381737297,30.0,0.0,24.43594267964363,UCB,10,100
1,1,9,1,16,5.988501191139221,20.0,8.828363381737297,30.0,0.0,24.01149880886078,UCB,10,100
1,1,7,4,19,5.6056694984436035,24.0,8.828363381737297,30.0,0.0,24.394330501556396,UCB,10,100
1,1,8,4,19,6.063587971031666,24.0,8.828363381737297,30.0,0.0,23.936412028968334,UCB,10,100
1,1,9,2,19,6.445467889308929,24.0,8.828363381737297,30.0,0.0,23.55453211069107,UCB,10,100
1,1,10,1,16,4.6615999937057495,20.0,8.828363381737297,30.0,0.0,25.33840000629425,UCB,10,100
1,1,7,5,19,6.379580229520798,24.0,8.828363381737297,30.0,0.0,23.620419770479202,UCB,10,100
1,1,8,5,19,4.627471685409546,24.0,8.828363381737297,30.0,0.0,25.372528314590454,UCB,10,100
1,1,9,3,19,5.055494248867035,24.0,8.828363381737297,30.0,0.0,24.944505751132965,UCB,10,100
1,1,10,2,19,6.058801610022783,24.0,8.828363381737297,30.0,0.0,23.941198389977217,UCB,10,100
1,1,7,6,19,6.142061099410057,24.0,8.828363381737297,30.0,0.0,23.857938900589943,UCB,10,100
1,1,8,6,19,6.9515005350112915,24.0,8.828363381737297,30.0,0.0,23.04849946498871,UCB,10,100
1,1,9,4,19,7.703620195388794,24.0,8.828363381737297,30.0,0.0,22.296379804611206,UCB,10,100
1,1,10,3,19,5.593973875045776,24.0,8.828363381737297,30.0,0.0,24.406026124954224,UCB,10,100
1,1,7,7,19,6.259150505065918,24.0,8.828363381737297,30.0,0.0,23.740849494934082,UCB,10,100
1,1,8,7,19,5.435692608356476,24.0,8.828363381737297,30.0,0.0,24.564307391643524,UCB,10,100
1,1,9,5,19,4.430378079414368,24.0,8.828363381737297,30.0,0.0,25.569621920585632,UCB,10,100
1,1,10,4,19,4.666683197021484,24.0,8.828363381737297,30.0,0.0,25.333316802978516,UCB,10,100
1,1,7,8,19,6.179592698812485,24.0,8.828363381737297,30.0,0.0,23.820407301187515,UCB,10,100
1,1,8,8,19,5.268399655818939,24.0,8.828363381737297,30.0,0.0,24.73160034418106,UCB,10,100
1,1,9,6,19,6.447491645812988,24.0,8.828363381737297,30.0,0.0,23.55250835418701,UCB,10,100
1,1,10,5,19,6.520788609981537,24.0,8.828363381737297,30.0,0.0,23.479211390018463,UCB,10,100
1,1,7,9,19,7.048046350479126,24.0,8.828363381737297,30.0,0.0,22.951953649520874,UCB,10,100
1,1,8,9,19,5.94778748229146,24.0,8.828363381737297,30.0,0.0,24.05221251770854,UCB,10,100
1,1,9,7,19,7.167859196662903,24.0,8.828363381737297,30.0,0.0,22.832140803337097,UCB,10,100
1,1,10,6,19,6.716263830661774,24.0,8.828363381737297,30.0,0.0,23.283736169338226,UCB,10,100
1,1,7,10,19,6.274067133665085,24.0,8.828363381737297,30.0,0.0,23.725932866334915,UCB,10,100
1,1,8,10,19,6.578461170196533,24.0,8.828363381737297,30.0,0.0,23.421538829803467,UCB,10,100
1,1,9,8,19,5.766894310712814,24.0,8.828363381737297,30.0,0.0,24.233105689287186,UCB,10,100
1,1,10,7,19,7.454650640487671,24.0,8.828363381737297,30.0,0.0,22.54534935951233,UCB,10,100
1,1,7,11,19,6.238417267799377,24.0,8.828363381737297,30.0,0.0,23.761582732200623,UCB,10,100
1,1,8,11,19,6.1079346388578415,24.0,8.828363381737297,30.0,0.0,23.89206536114216,UCB,10,100
1,1,9,9,19,6.967648267745972,24.0,8.828363381737297,30.0,0.0,23.03235173225403,UCB,10,100
1,1,10,8,19,4.359599947929382,24.0,8.828363381737297,30.0,0.0,25.640400052070618,UCB,10,100
1,1,7,12,19,5.646532028913498,24.0,8.828363381737297,30.0,0.0,24.353467971086502,UCB,10,100
1,1,8,12,19,7.204256176948547,24.0,8.828363381737297,30.0,0.0,22.795743823051453,UCB,10,100
1,1,9,10,19,5.710863023996353,24.0,8.828363381737297,30.0,0.0,24.289136976003647,UCB,10,100
1,1,10,9,19,7.401179313659668,24.0,8.828363381737297,30.0,0.0,22.598820686340332,UCB,10,100
1,1,9,11,19,5.908338062465191,24.0,8.828363381737297,30.0,0.0,24.09166193753481,UCB,10,100
1,1,10,10,19,6.268730819225311,24.0,8.828363381737297,30.0,0.0,23.73126918077469,UCB,10,100
1,1,9,12,19,5.948663014918566,24.0,8.828363381737297,30.0,0.0,24.051336985081434,UCB,10,100
1,1,10,11,19,4.33513081073761,24.0,8.828363381737297,30.0,0.0,25.66486918926239,UCB,10,100
1,1,10,12,19,5.563281327486038,24.0,8.828363381737297,30.0,0.0,24.436718672513962,UCB,10,100
2,1,1,1,21,4.471617162227631,25.0,8.765462528203136,30.0,0.0,25.52838283777237,UCB,10,100
2,1,1,2,25,4.23877739906311,0.0,8.765462528203136,30.0,0.0,25.76122260093689,UCB,10,100
2,1,2,1,21,5.6464173793792725,25.0,8.765462528203136,30.0,0.0,24.353582620620728,UCB,10,100
2,1,1,3,25,1.3119937777519226,0.0,8.765462528203136,30.0,0.0,28.688006222248077,UCB,10,100
2,1,2,2,25,0.8253002166748047,0.0,8.765462528203136,30.0,0.0,29.174699783325195,UCB,10,100
2,1,3,1,21,4.584541827440262,25.0,8.765462528203136,30.0,0.0,25.415458172559738,UCB,10,100
2,1,4,1,21,4.708739191293716,25.0,8.765462528203136,30.0,0.0,25.291260808706284,UCB,10,100
2,1,5,1,21,4.910334624350071,25.0,8.765462528203136,30.0,0.0,25.08966537564993,UCB,10,100
2,1,1,4,25,2.9403565526008606,0.0,8.765462528203136,30.0,0.0,27.05964344739914,UCB,10,100
2,1,2,3,25,2.2957610189914703,0.0,8.765462528203136,30.0,0.0,27.70423898100853,UCB,10,100
2,1,3,2,25,1.9996418736700434,0.0,8.765462528203136,30.0,0.0,28.000358126329957,UCB,10,100
2,1,4,2,25,1.565680742263794,0.0,8.765462528203136,30.0,0.0,28.434319257736206,UCB,10,100
2,1,5,2,25,1.1114250421524048,0.0,8.765462528203136,30.0,0.0,28.888574957847595,UCB,10,100
2,1,1,5,25,2.449414849281311,0.0,8.765462528203136,30.0,0.0,27.55058515071869,UCB,10,100
2,1,2,4,25,1.7112211883068085,0.0,8.765462528203136,30.0,0.0,28.28877881169319,UCB,10,100
2,1,3,3,25,1.9186248481273651,0.0,8.765462528203136,30.0,0.0,28.081375151872635,UCB,10,100
2,1,4,3,25,3.021450996398926,0.0,8.765462528203136,30.0,0.0,26.978549003601074,UCB,10,100
2,1,5,3,25,2.652266502380371,0.0,8.765462528203136,30.0,0.0,27.34773349761963,UCB,10,100
2,1,6,1,21,4.972968578338623,25.0,8.765462528203136,30.0,0.0,25.027031421661377,UCB,10,100
2,1,1,6,25,1.8174387067556381,0.0,8.765462528203136,30.0,0.0,28.182561293244362,UCB,10,100
2,1,2,5,25,1.7427313029766083,0.0,8.765462528203136,30.0,0.0,28.25726869702339,UCB,10,100
2,1,3,4,25,-0.13489842414855957,0.0,8.765462528203136,30.0,0.0,30.13489842414856,UCB,10,100
2,1,4,4,25,0.9508203268051147,0.0,8.765462528203136,30.0,0.0,29.049179673194885,UCB,10,100
2,1,5,4,25,2.342906415462494,0.0,8.765462528203136,30.0,0.0,27.657093584537506,UCB,10,100
2,1,6,2,25,3.5074262619018555,0.0,8.765462528203136,30.0,0.0,26.492573738098145,UCB,10,100
2,1,7,1,21,6.2715195417404175,25.0,8.765462528203136,30.0,0.0,23.728480458259583,UCB,10,100
2,1,1,7,25,2.439615249633789,0.0,8.765462528203136,30.0,0.0,27.56038475036621,UCB,10,100
2,1,2,6,25,2.5427772402763367,0.0,8.765462528203136,30.0,0.0,27.457222759723663,UCB,10,100
2,1,3,5,25,2.9007474780082703,0.0,8.765462528203136,30.0,0.0,27.09925252199173,UCB,10,100
2,1,4,5,25,0.8275834321975708,0.0,8.765462528203136,30.0,0.0,29.17241656780243,UCB,10,100
2,1,5,5,25,2.96963894367218,0.0,8.765462528203136,30.0,0.0,27.03036105632782,UCB,10,100
2,1,6,3,25,3.4832409620285034,0.0,8.765462528203136,30.0,0.0,26.516759037971497,UCB,10,100
2,1,7,2,25,1.3917248249053955,0.0,8.765462528203136,30.0,0.0,28.608275175094604,UCB,10,100
2,1,8,1,21,4.8313610553741455,25.0,8.765462528203136,30.0,0.0,25.168638944625854,UCB,10,100
2,1,1,8,25,2.9352429509162903,0.0,8.765462528203136,30.0,0.0,27.06475704908371,UCB,10,100
2,1,2,7,25,0.7697206735610962,0.0,8.765462528203136,30.0,0.0,29.230279326438904,UCB,10,100
2,1,3,6,25,0.18748414516448975,0.0,8.765462528203136,30.0,0.0,29.81251585483551,UCB,10,100
2,1,4,6,25,2.734983265399933,0.0,8.765462528203136,30.0,0.0,27.265016734600067,UCB,10,100
2,1,5,6,25,1.2635517120361328,0.0,8.765462528203136,30.0,0.0,28.736448287963867,UCB,10,100
2,1,6,4,25,1.8411307781934738,0.0,8.765462528203136,30.0,0.0,28.158869221806526,UCB,10,100
2,1,7,3,25,3.383959412574768,0.0,8.765462528203136,30.0,0.0,26.616040587425232,UCB,10,100
2,1,8,2,25,3.644222378730774,0.0,8.765462528203136,30.0,0.0,26.355777621269226,UCB,10,100
2,1,9,1,21,4.1850075125694275,25.0,8.765462528203136,30.0,0.0,25.814992487430573,UCB,10,100
2,1,10,1,21,3.675697445869446,25.0,8.765462528203136,30.0,0.0,26.324302554130554,UCB,10,100
2,1,1,9,25,2.8517332077026367,0.0,8.765462528203136,30.0,0.0,27.148266792297363,UCB,10,100
2,1,2,8,25,4.138629913330078,0.0,8.765462528203136,30.0,0.0,25.861370086669922,UCB,10,100
2,1,3,7,25,1.8153753578662872,0.0,8.765462528203136,30.0,0.0,28.184624642133713,UCB,10,100
2,1,4,7,25,1.7520993649959564,0.0,8.765462528203136,30.0,0.0,28.247900635004044,UCB,10,100
2,1,5,7,25,1.8275091350078583,0.0,8.765462528203136,30.0,0.0,28.17249086499214,UCB,10,100
2,1,6,5,25,1.0105680227279663,0.0,8.765462528203136,30.0,0.0,28.989431977272034,UCB,10,100
2,1,7,4,25,3.0923627614974976,0.0,8.765462528203136,30.0,0.0,26.907637238502502,UCB,10,100
2,1,8,3,25,0.8969248533248901,0.0,8.765462528203136,30.0,0.0,29.10307514667511,UCB,10,100
2,1,9,2,25,1.9659062549471855,0.0,8.765462528203136,30.0,0.0,28.034093745052814,UCB,10,100
2,1,10,2,25,3.068844437599182,0.0,8.765462528203136,30.0,0.0,26.931155562400818,UCB,10,100
2,1,1,10,25,2.992000639438629,0.0,8.765462528203136,30.0,0.0,27.00799936056137,UCB,10,100
2,1,2,9,25,1.0204346179962158,0.0,8.765462528203136,30.0,0.0,28.979565382003784,UCB,10,100
2,1,3,8,25,2.538851737976074,0.0,8.765462528203136,30.0,0.0,27.461148262023926,UCB,10,100
2,1,4,8,25,2.3240058720111847,0.0,8.765462528203136,30.0,0.0,27.675994127988815,UCB,10,100
2,1,5,8,25,3.7279610633850098,0.0,8.765462528203136,30.0,0.0,26.27203893661499,UCB,10,100
2,1,6,6,25,0.6002579927444458,0.0,8.765462528203136,30.0,0.0,29.399742007255554,UCB,10,100
2,1,7,5,25,1.4668554067611694,0.0,8.765462528203136,30.0,0.0,28.53314459323883,UCB,10,100
2,1,8,4,25,0.9022476673126221,0.0,8.765462528203136,30.0,0.0,29.097752332687378,UCB,10,100
2,1,9,3,25,3.0003210306167603,0.0,8.765462528203136,30.0,0.0,26.99967896938324,UCB,10,100
2,1,10,3,25,2.995837390422821,0.0,8.765462528203136,30.0,0.0,27.00416260957718,UCB,10,100
2,1,1,11,25,3.0565807819366455,0.0,8.765462528203136,30.0,0.0,26.943419218063354,UCB,10,100
2,1,2,10,25,1.7651868760585785,0.0,8.765462528203136,30.0,0.0,28.23481312394142,UCB,10,100
2,1,3,9,25,3.240155577659607,0.0,8.765462528203136,30.0,0.0,26.759844422340393,UCB,10,100
