run,epoch,agent,time,state,reward
1,1,1,1,52,-1
1,1,1,2,53,-1
1,1,2,1,52,-1
1,1,1,3,54,-1
1,1,2,2,53,-1
1,1,3,1,52,-1
1,1,1,4,55,-1
1,1,2,3,54,-1
1,1,3,2,51,-1
1,1,4,1,52,-1
1,1,1,5,56,-1
1,1,2,4,55,-1
1,1,3,3,50,-1
1,1,4,2,53,-1
1,1,5,1,52,-1
1,1,1,6,57,-1
1,1,2,5,56,-1
1,1,3,4,49,-1
1,1,4,3,54,-1
1,1,5,2,53,-1
1,1,6,1,52,-1
1,1,1,7,58,-1
1,1,2,6,57,-1
1,1,3,5,48,-1
1,1,4,4,55,-1
1,1,5,3,54,-1
1,1,6,2,51,-1
1,1,7,1,52,-1
1,1,1,8,59,-1
1,1,2,7,58,-1
1,1,3,6,47,-1
1,1,4,5,56,-1
1,1,5,4,55,-1
1,1,6,3,50,-1
1,1,7,2,51,-1
1,1,8,1,52,-1
1,1,1,9,60,-1
1,1,2,8,59,-1
1,1,3,7,46,-1
1,1,4,6,57,-1
1,1,5,5,56,-1
1,1,6,4,49,-1
1,1,7,3,50,-1
1,1,8,2,51,-1
1,1,9,1,52,-1
1,1,1,10,61,-1
1,1,2,9,60,-1
1,1,3,8,45,-1
1,1,4,7,58,-1
1,1,5,6,57,-1
1,1,6,5,48,-1
1,1,7,4,49,-1
1,1,8,3,50,-1
1,1,9,2,51,-1
1,1,10,1,52,-1
1,1,1,11,62,-1
1,1,2,10,61,-1
1,1,3,9,44,-1
1,1,4,8,59,-1
1,1,5,7,58,-1
1,1,6,6,47,-1
1,1,7,5,48,-1
1,1,8,4,49,-1
1,1,9,3,50,-1
1,1,10,2,53,-1
1,1,11,1,52,-1
1,1,1,12,63,-1
1,1,2,11,62,-1
1,1,3,10,43,-1
1,1,4,9,60,-1
1,1,5,8,59,-1
1,1,6,7,46,-1
1,1,7,6,47,-1
1,1,8,5,48,-1
1,1,9,4,49,-1
1,1,10,3,54,-1
1,1,11,2,51,-1
1,1,12,1,52,-1
1,1,1,13,64,-1
1,1,2,12,63,-1
1,1,3,11,42,-1
1,1,4,10,61,-1
1,1,5,9,60,-1
1,1,6,8,45,-1
1,1,7,7,46,-1
1,1,8,6,47,-1
1,1,9,5,48,-1
1,1,10,4,55,-1
1,1,11,3,50,-1
1,1,12,2,53,-1
1,1,13,1,52,-1
1,1,1,14,65,-1
1,1,2,13,64,-1
1,1,3,12,41,-1
1,1,4,11,62,-1
1,1,5,10,61,-1
1,1,6,9,44,-1
1,1,7,8,45,-1
1,1,8,7,46,-1
1,1,9,6,47,-1
1,1,10,5,56,-1
1,1,11,4,49,-1
1,1,12,3,54,-1
1,1,13,2,53,-1
1,1,14,1,52,-1
1,1,1,15,66,-1
1,1,2,14,65,-1
1,1,3,13,40,-1
1,1,4,12,63,-1
1,1,5,11,62,-1
1,1,6,10,43,-1
1,1,7,9,44,-1
1,1,8,8,45,-1
1,1,9,7,46,-1
1,1,10,6,57,-1
1,1,11,5,48,-1
1,1,12,4,55,-1
1,1,13,3,54,-1
1,1,14,2,53,-1
1,1,15,1,52,-1
1,1,1,16,67,-1
1,1,2,15,66,-1
1,1,3,14,39,-1
1,1,4,13,64,-1
1,1,5,12,63,-1
1,1,6,11,42,-1
1,1,7,10,43,-1
1,1,8,9,44,-1
1,1,9,8,45,-1
1,1,10,7,58,-1
1,1,11,6,47,-1
1,1,12,5,56,-1
1,1,13,4,55,-1
1,1,14,3,54,-1
1,1,15,2,53,-1
1,1,16,1,52,-1
1,1,1,17,68,-1
1,1,2,16,67,-1
1,1,3,15,38,-1
1,1,4,14,65,-1
1,1,5,13,64,-1
1,1,6,12,41,-1
1,1,7,11,42,-1
1,1,8,10,43,-1
1,1,9,9,44,-1
1,1,10,8,59,-1
1,1,11,7,46,-1
1,1,12,6,57,-1
1,1,13,5,56,-1
1,1,14,4,55,-1
1,1,15,3,54,-1
1,1,16,2,51,-1
1,1,17,1,52,-1
1,1,1,18,69,-1
1,1,2,17,68,-1
1,1,3,16,37,-1
1,1,4,15,66,-1
1,1,5,14,65,-1
1,1,6,13,40,-1
1,1,7,12,41,-1
1,1,8,11,42,-1
1,1,9,10,43,-1
1,1,10,9,60,-1
1,1,11,8,45,-1
1,1,12,7,58,-1
1,1,13,6,57,-1
1,1,14,5,56,-1
1,1,15,4,55,-1
1,1,16,3,50,-1
1,1,17,2,53,-1
1,1,18,1,52,-1
1,1,1,19,70,-1
1,1,2,18,69,-1
1,1,3,17,36,-1
1,1,4,16,67,-1
1,1,5,15,66,-1
1,1,6,14,39,-1
1,1,7,13,40,-1
1,1,8,12,41,-1
1,1,9,11,42,-1
1,1,10,10,61,-1
1,1,11,9,44,-1
1,1,12,8,59,-1
1,1,13,7,58,-1
1,1,14,6,57,-1
1,1,15,5,56,-1
1,1,16,4,49,-1
1,1,17,3,54,-1
1,1,18,2,53,-1
1,1,19,1,52,-1
1,1,1,20,71,-1
1,1,2,19,70,-1
1,1,3,18,35,-1
1,1,4,17,68,-1
1,1,5,16,67,-1
1,1,6,15,38,-1
1,1,7,14,39,-1
1,1,8,13,40,-1
1,1,9,12,41,-1
1,1,10,11,62,-1
1,1,11,10,43,-1
1,1,12,9,60,-1
1,1,13,8,59,-1
1,1,14,7,58,-1
1,1,15,6,57,-1
1,1,16,5,48,-1
1,1,17,4,55,-1
1,1,18,3,54,-1
1,1,19,2,51,-1
1,1,20,1,52,-1
1,1,1,21,72,-1
1,1,2,20,71,-1
1,1,3,19,34,-1
1,1,4,18,69,-1
1,1,5,17,68,-1
1,1,6,16,37,-1
1,1,7,15,38,-1
1,1,8,14,39,-1
1,1,9,13,40,-1
1,1,10,12,63,-1
1,1,11,11,42,-1
1,1,12,10,61,-1
1,1,13,9,60,-1
1,1,14,8,59,-1
1,1,15,7,58,-1
1,1,16,6,47,-1
1,1,17,5,56,-1
1,1,18,4,55,-1
1,1,19,3,50,-1
1,1,20,2,51,-1
1,1,21,1,52,-1
1,1,1,22,73,-1
1,1,2,21,72,-1
1,1,3,20,33,-1
1,1,4,19,70,-1
1,1,5,18,69,-1
1,1,6,17,36,-1
1,1,7,16,37,-1
1,1,8,15,38,-1
1,1,9,14,39,-1
1,1,10,13,64,-1
1,1,11,12,41,-1
1,1,12,11,62,-1
1,1,13,10,61,-1
1,1,14,9,60,-1
1,1,15,8,59,-1
1,1,16,7,46,-1
1,1,17,6,57,-1
1,1,18,5,56,-1
1,1,19,4,49,-1
1,1,20,3,50,-1
1,1,21,2,51,-1
1,1,22,1,52,-1
1,1,1,23,74,-1
1,1,2,22,73,-1
1,1,3,21,32,-1
1,1,4,20,71,-1
1,1,5,19,70,-1
1,1,6,18,35,-1
1,1,7,17,36,-1
